verb,verb_ipa,past_tense,past_tense_ipa,past_tense_type
deprive,dɪˈpraɪv,deprived,dɪˈpraɪvd,regular
derive,dɪˈraɪv,derived,dɪˈraɪvd,regular
desert,dɪˈzɜːrt,deserted,dɪˈzɜːrtɪd,regular
designate,ˈdɛzɪɡneɪt,designated,ˈdɛzɪɡneɪtɪd,regular
destruct,dɪˈstrʌkt,destructed,dɪˈstrʌktɪd,regular
detour,ˈdiːtʊər,detoured,ˈdiːtʊərd,regular
diaper,ˈdaɪəpər,diapered,ˈdaɪəpərd,regular
diddle,ˈdɪdəl,diddled,ˈdɪdəld,regular
ding,dɪŋ,dinged,dɪŋd,regular
disco,ˈdɪskoʊ,discoed,ˈdɪskoʊd,regular
do,duː,did,dɪd,irregular
dog,dɒɡ,dogged,dɒɡd,regular
dole,doʊl,doled,doʊld,regular
dote,doʊt,doted,doʊtɪd,regular
duplicate,ˈdjuːplɪkeɪt,duplicated,ˈdjuːplɪkeɪtɪd,regular
dwell,dwɛl,dwelled,dwɛld,regular
enroll,ɪnˈroʊl,enrolled,ɪnˈroʊld,regular
enthrall,ɪnˈθrɔːl,enthralled,ɪnˈθrɔːld,regular
even,ˈiːvən,evenned,ˈiːvənd,regular
except,ɪkˈsɛpt,excepted,ɪkˈsɛptɪd,regular
excuse,ɪkˈskjuːz,excused,ɪkˈskjuːzd,regular
expose,ɪkˈspoʊz,exposed,ɪkˈspoʊzd,regular
favor,ˈfeɪvər,favored,ˈfeɪvərd,regular
fib,fɪb,fibbed,fɪbd,regular
finagle,fɪˈneɪɡəl,finagled,fɪˈneɪɡəld,regular
fit,fɪt,fit,fɪt,irregular
flavor,ˈfleɪvər,flavored,ˈfleɪvərd,regular
flitter,ˈflɪtər,flittered,ˈflɪtərd,regular
fob,fɒb,fobbed,fɒbd,regular
forbid,fərˈbɪd,forbade,fərˈbeɪd,irregular
format,ˈfɔːrmæt,formated,ˈfɔːrmætɪd,regular
frank,fræŋk,franked,fræŋkt,regular
gab,ɡæb,gabbed,ɡæbd,regular
galumph,ɡəˈlʌmf,galumphed,ɡəˈlʌmft,regular
geyser,ˈɡaɪzər,geysered,ˈɡaɪzərd,regular
glub,ɡlʌb,glubbed,ɡlʌbd,regular
glug,ɡlʌɡ,glugged,ɡlʌɡd,regular
goad,ɡoʊd,goaded,ɡoʊdɪd,regular
google,ˈɡuːɡəl,googled,ˈɡuːɡəld,regular
goose,ɡuːs,goosed,ɡuːst,regular
graduate,ˈɡrædʒueɪt,graduated,ˈɡrædʒueɪtɪd,regular
gravitate,ˈɡrævɪteɪt,gravitated,ˈɡrævɪteɪtɪd,regular
gritter,ˈɡrɪtər,grittered,ˈɡrɪtərd,regular
grout,ɡraʊt,grouted,ɡraʊtɪd,regular
gun,ɡʌn,gunned,ɡʌnd,regular
gurn,ɡɜːrn,gurned,ɡɜːrnd,regular
gyp,dʒɪp,gypped,dʒɪpt,regular
ham,hæm,hammed,hæmd,regular
harbor,ˈhɑːrbər,harbored,ˈhɑːrbərd,regular
hash,hæʃ,hashed,hæʃt,regular
have,hæv,had,hæd,irregular
hearken,ˈhɑːrkən,hearkened,ˈhɑːrkənd,regular
heft,hɛft,hefted,hɛftɪd,regular
hem,hɛm,hemmed,hɛmd,regular
hit,hɪt,hit,hɪt,irregular
hock,hɒk,hocked,hɒkt,regular
hoke,hoʊk,hoked,hoʊkt,regular
hollow,ˈhɒloʊ,hollowed,ˈhɒloʊd,regular
honor,ˈɒnər,honored,ˈɒnərd,regular
hoove,huːv,hooved,huːvd,regular
hoover,ˈhuːvər,hoovered,ˈhuːvərd,regular
house,haʊz,housed,haʊzd,regular
hunker,ˈhʌŋkər,hunkered,ˈhʌŋkərd,regular
hurt,hɜːrt,hurt,hɜːrt,irregular
image,ˈɪmɪdʒ,imaged,ˈɪmɪdʒd,regular
implement,ˈɪmplɪmɛnt,implemented,ˈɪmplɪmɛntɪd,regular
include,ɪnˈkluːd,included,ɪnˈkluːdɪd,regular
incorporate,ɪnˈkɔːrpəreɪt,incorporated,ɪnˈkɔːrpəreɪtɪd,regular
initiate,ɪˈnɪʃieɪt,initiated,ɪˈnɪʃieɪtɪd,regular
jack,dʒæk,jacked,dʒækt,regular
jive,dʒaɪv,jived,dʒaɪvd,regular
juice,dʒuːs,juiced,dʒuːst,regular
junk,dʒʌŋk,junked,dʒʌŋkt,regular
jut,dʒʌt,jutted,dʒʌtɪd,regular
keel,kiːl,keeled,kiːld,regular
knacker,ˈnækər,knackered,ˈnækərd,regular
kneel,niːl,knelt,nɛlt,irregular
knuckle,ˈnʌkəl,knuckled,ˈnʌkəld,regular
lam,læm,lammed,læmd,regular
lasso,ˈlæsoʊ,lassoed,ˈlæsoʊd,regular
lead,liːd,led,lɛd,irregular
learn,lɜːrn,learned,lɜːrnd,irregular
let,lɛt,let,lɛt,irregular
live,lɪv,lived,lɪvd,regular
liven,ˈlaɪvən,livened,ˈlaɪvənd,regular
loaf,loʊf,loafed,loʊft,regular
magick,ˈmædʒɪk,magicked,ˈmædʒɪkt,regular
make,meɪk,made,meɪd,irregular
maneuver,məˈnuːvər,maneuvered,məˈnuːvərd,regular
max,mæks,maxed,mækst,regular
meow,miˈaʊ,meowed,miˈaʊd,regular
message,ˈmɛsɪdʒ,messaged,ˈmɛsɪdʒd,regular
microwave,ˈmaɪkroʊweɪv,microwaved,ˈmaɪkroʊweɪvd,regular
moisturize,ˈmɔɪstʃəraɪz,moisturized,ˈmɔɪstʃəraɪzd,regular
mold,moʊld,molded,moʊldɪd,regular
molt,moʊlt,molted,moʊltɪd,regular
moon,muːn,mooned,muːnd,regular
mouth,maʊð,mouthed,maʊðd,regular
mush,mʌʃ,mushed,mʌʃt,regular
neaten,ˈniːtən,neatened,ˈniːtənd,regular
neigh,neɪ,neighed,neɪd,regular
nix,nɪks,nixed,nɪkst,regular
noise,nɔɪz,noised,nɔɪzd,regular
noodle,ˈnuːdəl,noodled,ˈnuːdəld,regular
nosedive,ˈnoʊzdaɪv,nosedived,ˈnoʊzdaɪvd,regular
nosh,nɒʃ,noshed,nɒʃt,regular
object,əbˈdʒɛkt,objected,əbˈdʒɛktɪd,regular
opt,ɒpt,opted,ɒptɪd,regular
ornament,ˈɔːrnəmɛnt,ornamented,ˈɔːrnəmɛntɪd,regular
outfit,ˈaʊtfɪt,outfited,ˈaʊtfɪtɪd,regular
pace,peɪs,paced,peɪst,regular
page,peɪdʒ,paged,peɪdʒd,regular
pan,pæn,panned,pænd,regular
parcel,ˈpɑːrsəl,parceled,ˈpɑːrsəld,regular
pare,pɛər,pared,pɛərd,regular
parrot,ˈpærət,parroted,ˈpærətɪd,regular
party,ˈpɑːrti,partied,ˈpɑːrtid,regular
pavilion,pəˈvɪljən,pavilioned,pəˈvɪljənd,regular
perm,pɜːrm,permed,pɜːrmd,regular
peter,ˈpiːtər,petered,ˈpiːtərd,regular
piddle,ˈpɪdəl,piddled,ˈpɪdəld,regular
pilfer,ˈpɪlfər,pilfered,ˈpɪlfərd,regular
plow,plaʊ,plowed,plaʊd,regular
plunk,plʌŋk,plunkked,plʌŋkt,regular
pong,pɒŋ,ponged,pɒŋd,regular
poof,puːf,poofed,puːft,regular
poop,puːp,pooped,puːpt,regular
pop,pɒp,popped,pɒpt,regular
pore,pɔːr,pored,pɔːrd,regular
postmark,ˈpoʊstmɑːrk,postmarked,ˈpoʊstmɑːrkt,regular
practice,ˈpræktɪs,practiced,ˈpræktɪst,regular
present,prɪˈzɛnt,presented,prɪˈzɛntɪd,regular
produce,prəˈdjuːs,produced,prəˈdjuːst,regular
program,ˈproʊɡræm,programed,ˈproʊɡræmd,regular
protest,prəˈtɛst,protested,prəˈtɛstɪd,regular
pummel,ˈpʌməl,pummeled,ˈpʌməld,regular
puree,pjʊˈreɪ,pureed,pjʊˈreɪd,regular
put,pʊt,put,pʊt,irregular
quack,kwæk,quacked,kwækt,regular
rag,ræɡ,ragged,ræɡd,regular
read,riːd,read,rɛd,irregular
recall,rɪˈkɔːl,recalled,rɪˈkɔːld,regular
record,rɪˈkɔːrd,recorded,rɪˈkɔːrdɪd,regular
refer,rɪˈfɜːr,refered,rɪˈfɜːrd,regular
refuse,rɪˈfjuːz,refused,rɪˈfjuːzd,regular
reject,rɪˈdʒɛkt,rejected,rɪˈdʒɛktɪd,regular
rely,rɪˈlaɪ,relied,rɪˈlaɪd,regular
resume,rɪˈzjuːm,resumed,rɪˈzjuːmd,regular
reverse,rɪˈvɜːrs,reversed,rɪˈvɜːrst,regular
rid,rɪd,rid,rɪd,irregular
rise,raɪz,rose,roʊz,irregular
roast,roʊst,roasted,roʊstɪd,regular
rolly,ˈroʊli,rollied,ˈroʊlid,regular
row,roʊ,rowed,roʊd,regular
sanitize,ˈsænɪtaɪz,sanitized,ˈsænɪtaɪzd,regular
sauce,sɔːs,sauced,sɔːst,regular
say,seɪ,said,sɛd,irregular
scam,skæm,scammed,skæmd,regular
scarf,skɑːrf,scarfed,skɑːrft,regular
schlep,ʃlɛp,schlepped,ʃlɛpt,regular
scissor,ˈsɪzər,scissored,ˈsɪzərd,regular
scooch,skuːtʃ,scooched,skuːtʃt,regular
scootch,skuːtʃ,scootched,skuːtʃt,regular
scram,skræm,scramed,skræmd,regular
separate,ˈsɛpəreɪt,separated,ˈsɛpəreɪtɪd,regular
set,sɛt,set,sɛt,irregular
shampoo,ʃæmˈpuː,shampooed,ʃæmˈpuːd,regular
shed,ʃɛd,shed,ʃɛd,irregular
shimmy,ˈʃɪmi,shimmied,ˈʃɪmid,regular
shrink,ʃrɪŋk,shrank,ʃræŋk,irregular
shut,ʃʌt,shut,ʃʌt,irregular
shute,ʃuːt,shuted,ʃuːtɪd,regular
sire,saɪər,sired,saɪərd,regular
skateboard,ˈskeɪtbɔːrd,skateboarded,ˈskeɪtbɔːrdɪd,regular
skedaddle,skɪˈdædəl,skedaddled,skɪˈdædəld,regular
skunk,skʌŋk,skunkked,skʌŋkt,regular
slay,sleɪ,slew,sluː,irregular
sled,slɛd,sledded,slɛdɪd,regular
sledge,slɛdʒ,sledged,slɛdʒd,regular
slime,slaɪm,slimed,slaɪmd,regular
slink,slɪŋk,slunk,slʌŋk,irregular
slit,slɪt,slitted,slɪtɪd,regular
smarten,ˈsmɑːrtən,smartened,ˈsmɑːrtənd,regular
smell,smɛl,smelled,smɛld,irregular
smooch,smuːtʃ,smooched,smuːtʃt,regular
smoosh,smuːʃ,smooshed,smuːʃt,regular
smush,smʌʃ,smushed,smʌʃt,regular
snack,snæk,snacked,snækt,regular
sniffle,ˈsnɪfəl,sniffled,ˈsnɪfəld,regular
snug,snʌɡ,snugged,snʌɡd,regular
somersault,ˈsʌmərsɔːlt,somersaulted,ˈsʌmərsɔːltɪd,regular
sow,soʊ,sowed,soʊd,regular
spam,spæm,spammed,spæmd,regular
spaz,spæz,spazzed,spæzd,regular
speckle,ˈspɛkəl,speckled,ˈspɛkəld,regular
spell,spɛl,spelled,spɛld,irregular
spill,spɪl,spilled,spɪld,irregular
splat,splæt,splated,splætɪd,regular
split,splɪt,split,splɪt,irregular
splosh,splɒʃ,sploshed,splɒʃt,regular
splotch,splɒtʃ,splotched,splɒtʃt,regular
spoil,spɔɪl,spoiled,spɔɪld,irregular
spread,sprɛd,spread,sprɛd,irregular
spring,sprɪŋ,sprang,spræŋ,irregular
squiggle,ˈskwɪɡəl,squiggled,ˈskwɪɡəld,regular
squish,skwɪʃ,squished,skwɪʃt,regular
stink,stɪŋk,stank,stæŋk,irregular
strike,straɪk,struck,strʌk,irregular
submerge,səbˈmɜːrdʒ,submerged,səbˈmɜːrdʒd,regular
sum,sʌm,summed,sʌmd,regular
supplement,ˈsʌplɪmɛnt,supplemented,ˈsʌplɪmɛntɪd,regular
suspect,səˈspɛkt,suspected,səˈspɛktɪd,regular
swoosh,swuːʃ,swooshed,swuːʃt,regular
tan,tæn,tanned,tænd,regular
task,tɑːsk,tasked,tɑːskt,regular
tattle,ˈtætəl,tattled,ˈtætəld,regular
team,tiːm,teamed,tiːmd,regular
tear,tɛər,tore,tɔːr,irregular
till,tɪl,tilled,tɪld,regular
title,ˈtaɪtəl,titled,ˈtaɪtəld,regular
toe,toʊ,toed,toʊd,regular
tootle,ˈtuːtəl,tootled,ˈtuːtəld,regular
torment,tɔːrˈmɛnt,tormented,tɔːrˈmɛntɪd,regular
towel,ˈtaʊəl,toweled,ˈtaʊəld,regular
toy,tɔɪ,toyed,tɔɪd,regular
trash,træʃ,trashed,træʃt,regular
tromp,trɒmp,tromped,trɒmpt,regular
trump,trʌmp,trumped,trʌmpt,regular
tut,tʌt,tutted,tʌtɪd,regular
tweet,twiːt,tweeted,twiːtɪd,regular
twizzle,ˈtwɪzəl,twizzled,ˈtwɪzəld,regular
upset,ʌpˈsɛt,upset,ʌpˈsɛt,irregular
use,juːz,used,juːzd,regular
video,ˈvɪdioʊ,videoed,ˈvɪdioʊd,regular
wad,wɒd,wadded,wɒdɪd,regular
waffle,ˈwɒfəl,waffled,ˈwɒfəld,regular
wang,wæŋ,wanged,wæŋd,regular
weave,wiːv,wove,woʊv,irregular
wee,wiː,weed,wiːd,regular
weep,wiːp,wept,wɛpt,irregular
whap,wæp,whapped,wæpt,regular
whinge,wɪndʒ,whinged,wɪndʒd,regular
whir,wɜːr,whirred,wɜːrd,regular
whoosh,wuːʃ,whooshed,wuːʃt,regular
whup,wʌp,whupped,wʌpt,regular
wibble,ˈwɪbəl,wibbled,ˈwɪbəld,regular
wimp,wɪmp,wimped,wɪmpt,regular
wind,waɪnd,wound,waʊnd,irregular
woof,wʊf,woofed,wʊft,regular
wop,wɒp,wopped,wɒpt,regular
wound,wuːnd,wounded,wuːndɪd,irregular
yack,jæk,yacked,jækt,regular
yip,jɪp,yipped,jɪpt,regular
yuck,jʌk,yucked,jʌkt,regular
zero,ˈzɪəroʊ,zeroed,ˈzɪəroʊd,regular
zipper,ˈzɪpər,zippered,ˈzɪpərd,regular
